date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:40	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2026%20Mar%202019%2013:35:40%20GMT	http://mosmedspravka.com/robots.txt		(from )
17:35:42	162991/162991	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2013:35:41%20GMT	http://mosmedspravka.com/	D:/WEB/aaa/mosmedspravka.com/index.html	(from )
17:35:42	16934/16934	---M-Z	200	added ('OK')	text/css	etag:%224226-5826be3e4ba97-gzip%22	http://mosmedspravka.com/wp-content/plugins/jetpack/modules/theme-tools/compat/twentysixteen.css?ver=7.0.1	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/jetpack/modules/theme-tools/compat/twentysixteenf0a0.css	(from http://mosmedspravka.com/)
17:35:43	25658/25658	---M-Z	200	added ('OK')	text/css	etag:%22643a-57fa4d73cbf80-gzip%22	http://mosmedspravka.com/wp-includes/css/dist/block-library/style.min.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-includes/css/dist/block-library/style.min5560.css	(from http://mosmedspravka.com/)
17:35:43	1102/1102	---M-Z	200	added ('OK')	text/css	etag:%2244e-57fa4d73cbf80-gzip%22	http://mosmedspravka.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-includes/css/dist/block-library/theme.min5560.css	(from http://mosmedspravka.com/)
17:35:43	3733/3733	---M-Z	200	added ('OK')	text/css	etag:%22e95-580983038e18b-gzip%22	http://mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/default.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/default5560.css	(from http://mosmedspravka.com/)
17:35:43	22487/22487	---M-Z	200	added ('OK')	text/css	etag:%2257d7-580983038e18b-gzip%22	http://mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/font-awesome.min.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/font-awesome.min5560.css	(from http://mosmedspravka.com/)
17:35:44	64110/64110	---M-Z	200	added ('OK')	text/css	etag:%22fa6e-580983038e18b-gzip%22	http://mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/otw-blog-manager.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/otw-blog-manager5560.css	(from http://mosmedspravka.com/)
17:35:44	37130/37130	---M-Z	200	added ('OK')	text/css	etag:%22910a-580983038e18b-gzip%22	http://mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/otw-grid.css?ver=5.0.4	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/otw-blog-manager/frontend/css/otw-grid5560.css	(from http://mosmedspravka.com/)
17:35:44	2078/2078	---M-Z	200	added ('OK')	text/css	etag:%2281e-58084330c9d88-gzip%22	http://mosmedspravka.com/wp-content/plugins/ultimate-form-builder-lite/css/jquery.selectbox.css?ver=1.4.0	D:/WEB/aaa/mosmedspravka.com/wp-content/plugins/ultimate-form-builder-lite/css/jquery.selectbox2fca.css	(from http://mosmedspravka.com/)
