date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:15	98/98	---M--	200	added ('OK')	text/plain	etag:%2215cdae7-62-575e90ff41249%22	http://malikov.net/robots.txt		(from )
18:09:17	497128/497128	---M--	200	added ('OK')	text/html	etag:%22198e31d-795e8-5815035123d7b%22	http://malikov.net/works/rc-gig/	D:/WEB/shun/malikov.net/works/rc-gig/index.html	(from )
18:09:18	1517/1517	---M--	200	added ('OK')	text/css	etag:%221a32756-5ed-5802b68104174%22	http://malikov.net/works/rc-gig/index_htm_files/xr_fonts.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/xr_fonts.css	(from http://malikov.net/works/rc-gig/)
18:09:18	17486/17486	---M--	200	added ('OK')	text/plain	etag:%221a32755-444e-5815035109798%22	http://malikov.net/works/rc-gig/index_htm_files/xr_files.txt	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/xr_files.txt	(from http://malikov.net/works/rc-gig/)
18:09:18	1517/1517	---M--	200	added ('OK')	text/css	etag:%221a32757-5ed-5802b68106884%22	http://malikov.net/works/rc-gig/index_htm_files/xr_fontsie.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/xr_fontsie.css	(from http://malikov.net/works/rc-gig/)
18:09:18	9195/9195	---M--	200	added ('OK')	text/css	etag:%221a3275a-23eb-581503510f171%22	http://malikov.net/works/rc-gig/index_htm_files/xr_main.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/xr_main.css	(from http://malikov.net/works/rc-gig/)
18:09:18	3207/3207	---M--	200	added ('OK')	text/css	etag:%221a32730-c87-5813be4d7ccc9%22	http://malikov.net/works/rc-gig/index_htm_files/custom_styles.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/custom_styles.css	(from http://malikov.net/works/rc-gig/)
18:09:19	18775/18775	---M--	200	added ('OK')	text/css	etag:%221a3275b-4957-58137b52870e2%22	http://malikov.net/works/rc-gig/index_htm_files/xr_text.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/xr_text.css	(from http://malikov.net/works/rc-gig/)
18:09:19	5558/5558	---M--	200	added ('OK')	image/x-icon	etag:%221a32733-15b6-57c4254b7f594%22	http://malikov.net/works/rc-gig/index_htm_files/favicon.ico	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/favicon.ico	(from http://malikov.net/works/rc-gig/)
18:09:19	2695/2695	---M--	200	added ('OK')	image/png	etag:%221a2f658-a87-5813c93c023c7%22	http://malikov.net/works/rc-gig/index_htm_files/tileicon.png	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/tileicon.png	(from http://malikov.net/works/rc-gig/)
18:09:21	102180/102180	---M--	200	added ('OK')	text/css	etag:%221a3272f-18f24-57c4254b78063%22	http://malikov.net/works/rc-gig/index_htm_files/ani.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/ani.css	(from http://malikov.net/works/rc-gig/)
18:09:27	29989/29989	---M--	200	added ('OK')	application/javascript	etag:%221a32739-7525-57f695694556b%22	http://malikov.net/works/rc-gig/index_htm_files/prs4.js	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/prs4.js	(from http://malikov.net/works/rc-gig/)
18:09:27	20163/20163	---M--	200	added ('OK')	text/css	etag:%221a34dbf-4ec3-580749b7af1dc%22	http://malikov.net/works/rc-gig/index_htm_files/mediaelementplayer.min.css	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/mediaelementplayer.min.css	(from http://malikov.net/works/rc-gig/)
18:09:31	17529/17529	---M--	200	added ('OK')	image/jpeg	etag:%221a337e1-4479-57deb5a31a6d5%22	http://malikov.net/works/rc-gig/index_htm_files/51275.jpg	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/51275.jpg	(from http://malikov.net/works/rc-gig/)
18:09:31	2193/2193	---M--	200	added ('OK')	image/png	etag:%221a30bbb-891-57c42438ca512%22	http://malikov.net/works/rc-gig/index_htm_files/42134.png	D:/WEB/shun/malikov.net/works/rc-gig/index_htm_files/42134.png	(from http://malikov.net/works/rc-gig/)
